VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
8664,"STOLI GROUP,(USA) LLC",3630,Stolichnaya Razberi,19.83,24.99,1750.0,27479,544908.5699999994,5071.0,126775.29000000212,53424.62951087952,9317.260084629059,18544.489999999998,-418133.27999999723,-329.82238100184213,0.1845409221587394,0.23265424142623095
1128,BROWN-FORMAN CORP,2760,Jack Daniels Tennessee Honey,28.02,38.99,1750.0,19219,538516.3799999909,4620.0,175591.80000000066,71035.31313705444,8489.420068502426,68601.68000000001,-362924.5799999903,-206.68651952994898,0.2403871169155523,0.3260658478020736
3960,DIAGEO NORTH AMERICA INC,8178,Bulleit Bourbon,18.51,25.99,750.0,28421,526072.7099999951,8451.0,221182.4900000007,70427.15938568115,6653.660047292709,257032.07000000007,-304890.2199999944,-137.84555007043886,0.2973505506491679,0.4204409120556791
3089,SIDNEY FRANK IMPORTING CO,5445,Jagermeister Liqueur,11.76,15.99,750.0,44330,521320.7999999928,9218.0,139904.82000000146,46024.88931083679,7257.18006169796,8549.550000000001,-381415.97999999137,-272.6253319935563,0.20794044665012407,0.26836608092369113
3252,E & J GALLO WINERY,14006,Apothic Winemakers Red Blend,5.44,9.99,750.0,94779,515597.76000000985,29943.0,243218.5700000015,27489.43923187256,3365.120000988245,61966.909999999996,-272379.1900000083,-111.98947103422516,0.315924413635932,0.4717215412262397
3664,WILLIAM GRANT & SONS INC,3238,Hendrick's Gin,22.83,29.99,750.0,22352,510296.16,3858.0,115849.4200000015,55003.68962478638,3038.10003978014,30234.42000000001,-394446.7399999985,-340.4822743178113,0.17260200429491768,0.2270238913810394
12546,JIM BEAM BRANDS COMPANY,3980,Hornitos Reposado Tequila,31.99,39.99,1750.0,15805,505601.95000000834,2781.0,97367.19000000149,57602.55276107788,5110.620078206062,123880.96999999999,-408234.7600000069,-419.2734328678897,0.17595697564062004,0.19257676913627386
7245,PROXIMO SPIRITS INC.,3776,Jose Cuervo Especial Silver,18.56,25.99,1750.0,26795,497315.199999981,4416.0,118538.8400000021,52742.359550476074,8114.370059251785,38994.78000000001,-378776.35999997886,-319.53776500594415,0.1648068669527897,0.2383575647798552
3960,DIAGEO NORTH AMERICA INC,3746,Gordons Vodka 80 Proof,8.52,12.99,1750.0,58309,496792.67999998684,10120.0,131122.80000000208,35342.739376068115,18593.570018172264,257032.07000000007,-365669.87999998475,-278.8758934372809,0.17355811281277334,0.2639386715601477
17035,PERNOD RICARD USA,3728,Absolut Citron,18.93,24.99,1750.0,25959,491403.86999999895,4693.0,117344.07000000188,52479.00951957703,8622.810082435608,123780.21999999997,-374059.7999999971,-318.77179647850215,0.18078508417119304,0.23879354063695538
3924,HEAVEN HILL DISTILLERIES,3243,Burnetts Vodka,8.26,10.49,1750.0,57575,475569.4999999942,9421.0,113355.79000000129,34254.22936439514,17309.03001821041,14069.869999999995,-362213.70999999286,-319.5370170328209,0.16363004776378637,0.23835798973652153
3089,SIDNEY FRANK IMPORTING CO,5440,Jagermeister Liqueur,25.92,34.99,1750.0,18298,474284.1599999999,3948.0,126713.52000000238,62377.57001686096,7254.380078792572,8549.550000000001,-347570.63999999757,-274.2964128847427,0.21576128538638104,0.26716793577926445
480,BACARDI USA INC,4245,Bacardi Superior Rum,7.93,11.99,750.0,58816,466410.87999998714,18321.0,185016.79000000042,30210.489324569702,14425.890035629272,89286.26999999999,-281394.0899999867,-152.09111021761112,0.31149687159956474,0.396681977058523
9165,ULTRA BEVERAGE COMPANY LLP,36378,MezzaCorona Pnt Grigio,6.83,9.97,1500.0,68084,465013.72000000003,12307.0,127984.6500000004,29105.35941886902,2764.9399984180927,68054.70000000003,-337029.0699999996,-263.3355406292853,0.18076199988249808,0.2752276857551652
3664,WILLIAM GRANT & SONS INC,4198,Sailor Jerry Spiced Navy Rum,17.51,24.99,1750.0,25998,455224.9799999919,5229.0,130672.71000000247,59351.24945640564,9607.56009554863,30234.42000000001,-324552.2699999894,-248.37035215691424,0.20113085621970922,0.28705083363396444
10000,MAJESTIC FINE WINES,24325,La Crema Chard Sonoma Cst,10.88,15.99,750.0,41274,449061.11999999353,10366.0,167537.34000000096,33280.35952758789,1162.7900011837482,17587.59,-281523.7799999926,-168.03643892161054,0.25115084556863887,0.3730836016264409
17035,PERNOD RICARD USA,5735,Malibu Rum,9.29,11.99,750.0,48121,447044.0899999993,9209.0,119624.91000000198,33566.159408569336,7250.870041310787,123780.21999999997,-327419.1799999974,-273.70484960029813,0.1913717503792523,0.26759085440543945
8112,MOET HENNESSY USA INC,5342,Grand Marnier,19.85,28.99,750.0,22234,441344.90000000334,5924.0,171856.76000000114,67892.6995048523,4664.220050871372,48347.26,-269488.1400000022,-156.8097408562808,0.26643878744265537,0.38939332934401155
2555,DISARONNO INTERNATIONAL LLC,5311,Amaretto DiSaronno,23.7,31.99,1750.0,18409,436293.30000000645,4865.0,173654.35000000073,65078.79305648804,8939.260048270226,5861.030000000001,-262638.9500000057,-151.24236738095223,0.26427290998967895,0.398022041594492
1392,CONSTELLATION BRANDS INC,19748,Clos du Bois Chard,9.2,13.99,1500.0,47153,433807.600000004,8079.0,130125.21000000155,34276.82951545715,1814.0499965846539,79528.99,-303682.39000000246,-233.37706044816287,0.17133586410196594,0.29996065075853984
8112,MOET HENNESSY USA INC,3668,Belvedere Polish Vodka,34.12,42.99,1750.0,12713,433767.55999999325,2996.0,129006.04000000191,61807.65240859985,5505.410058259964,48347.26,-304761.51999999135,-236.23817923562868,0.2356642806575946,0.29740822481055046
2561,EDRINGTON AMERICAS,2520,The Macallan 12 Yr Old,42.21,62.99,750.0,10227,431681.6700000005,3103.0,171923.97000000105,85634.5525932312,2443.8000324368477,9654.500000000002,-259757.69999999946,-151.08870508283277,0.30341253544538965,0.3982656247600248
3960,DIAGEO NORTH AMERICA INC,8202,Sambuca Romana,13.33,17.99,750.0,32375,431558.75000000186,8468.0,152487.32000000123,45568.699420928955,6667.160053730011,257032.07000000007,-279071.43000000063,-183.01287608700736,0.26155984555984557,0.35334081396797207
3960,DIAGEO NORTH AMERICA INC,3276,Gordons London Dry,9.62,14.99,1750.0,44631,429350.21999997704,7642.0,114331.5800000022,33652.50948524475,14041.330007076263,257032.07000000007,-315018.63999997487,-275.5307326287005,0.17122627769935694,0.2662897901857563
3960,DIAGEO NORTH AMERICA INC,497,Capt Morgan Spiced Rum,14.7,19.99,1000.0,29200,429240.0000000057,6852.0,136971.48000000068,30884.549646377563,7194.5999484062195,257032.07000000007,-292268.520000005,-213.37910636579497,0.23465753424657534,0.3191023203802042
3960,DIAGEO NORTH AMERICA INC,1883,Seagrams 7 Crown,13.23,17.99,1750.0,32253,426707.1900000127,6511.0,117132.89000000234,43679.7194442749,11962.810098290443,257032.07000000007,-309574.30000001035,-264.2932313887279,0.20187269401296004,0.27450413947793767
3960,DIAGEO NORTH AMERICA INC,2767,Johnnie Walker Blue Label,139.7,189.99,750.0,2963,413931.1000000022,1050.0,202789.4999999997,124721.56353759766,827.3900132775307,257032.07000000007,-211141.60000000248,-104.11860574635412,0.3543705703678704,0.4899112436828222
17035,PERNOD RICARD USA,482,Absolut 80 Proof,14.28,21.99,1000.0,28888,412520.6399999918,6855.0,143285.45000000138,42097.99954223633,7197.7499141693115,123780.21999999997,-269235.1899999904,-187.90127678699253,0.2372957629465522,0.34734128697173605
3960,DIAGEO NORTH AMERICA INC,8778,Bulleit Bourbon,37.29,49.99,1750.0,10966,408922.1399999975,2586.0,127021.1400000016,69474.88236999512,4752.130054354668,257032.07000000007,-281900.9999999959,-221.93234921367608,0.23581980667517782,0.31062426700594487
1128,BROWN-FORMAN CORP,1220,Woodford Reserve Bourbon,21.89,29.99,750.0,18645,408139.0500000114,5125.0,160803.75000000175,67087.65987586975,4035.4500460624695,68601.68000000001,-247335.30000000965,-153.81189804342682,0.2748726200053634,0.3939925620937209
3960,DIAGEO NORTH AMERICA INC,2418,Crown Royal Regal Apple,16.53,22.99,750.0,24558,405943.7399999935,6598.0,153732.02000000142,56111.02945137024,5195.16005384922,257032.07000000007,-252211.71999999206,-164.05932869417168,0.2686700871406466,0.37870277295076377
